Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_015033625.1	Primary Assembly	Un			WNWZ01000186.1	Chromosome			unplaced-scaffold	23076			TcBrA4_Contig280
GCA_015033625.1	Primary Assembly	Un			WNWZ01000187.1	Chromosome			unplaced-scaffold	15201			TcBrA4_Contig281
GCA_015033625.1	Primary Assembly	Un			WNWZ01000188.1	Chromosome			unplaced-scaffold	20796			TcBrA4_Contig282
GCA_015033625.1	Primary Assembly	Un			WNWZ01000189.1	Chromosome			unplaced-scaffold	21129			TcBrA4_Contig283
GCA_015033625.1	Primary Assembly	Un			WNWZ01000190.1	Chromosome			unplaced-scaffold	21694			TcBrA4_Contig284
GCA_015033625.1	Primary Assembly	Un			WNWZ01000191.1	Chromosome			unplaced-scaffold	17322			TcBrA4_Contig285
GCA_015033625.1	Primary Assembly	Un			WNWZ01000192.1	Chromosome			unplaced-scaffold	126612			TcBrA4_Contig286
GCA_015033625.1	Primary Assembly	Un			WNWZ01000193.1	Chromosome			unplaced-scaffold	14211			TcBrA4_Contig287
GCA_015033625.1	Primary Assembly	Un			WNWZ01000194.1	Chromosome			unplaced-scaffold	33960			TcBrA4_Contig288
GCA_015033625.1	Primary Assembly	Un			WNWZ01000195.1	Chromosome			unplaced-scaffold	15411			TcBrA4_Contig289
GCA_015033625.1	Primary Assembly	Un			WNWZ01000196.1	Chromosome			unplaced-scaffold	20069			TcBrA4_Contig28
GCA_015033625.1	Primary Assembly	Un			WNWZ01000197.1	Chromosome			unplaced-scaffold	14688			TcBrA4_Contig290
GCA_015033625.1	Primary Assembly	Un			WNWZ01000198.1	Chromosome			unplaced-scaffold	27781			TcBrA4_Contig291
GCA_015033625.1	Primary Assembly	Un			WNWZ01000199.1	Chromosome			unplaced-scaffold	20540			TcBrA4_Contig292
GCA_015033625.1	Primary Assembly	Un			WNWZ01000200.1	Chromosome			unplaced-scaffold	5452			TcBrA4_Contig293
GCA_015033625.1	Primary Assembly	Un			WNWZ01000201.1	Chromosome			unplaced-scaffold	14240			TcBrA4_Contig294
GCA_015033625.1	Primary Assembly	Un			WNWZ01000202.1	Chromosome			unplaced-scaffold	49204			TcBrA4_Contig295
GCA_015033625.1	Primary Assembly	Un			WNWZ01000203.1	Chromosome			unplaced-scaffold	11972			TcBrA4_Contig296
GCA_015033625.1	Primary Assembly	Un			WNWZ01000204.1	Chromosome			unplaced-scaffold	14000			TcBrA4_Contig297
GCA_015033625.1	Primary Assembly	Un			WNWZ01000205.1	Chromosome			unplaced-scaffold	21028			TcBrA4_Contig298
GCA_015033625.1	Primary Assembly	Un			WNWZ01000206.1	Chromosome			unplaced-scaffold	22747			TcBrA4_Contig299
GCA_015033625.1	Primary Assembly	Un			WNWZ01000207.1	Chromosome			unplaced-scaffold	138880			TcBrA4_Contig29
GCA_015033625.1	Primary Assembly	Un			WNWZ01000208.1	Chromosome			unplaced-scaffold	11155			TcBrA4_Contig2
GCA_015033625.1	Primary Assembly	Un			WNWZ01000209.1	Chromosome			unplaced-scaffold	28456			TcBrA4_Contig300
GCA_015033625.1	Primary Assembly	Un			WNWZ01000210.1	Chromosome			unplaced-scaffold	6679			TcBrA4_Contig301
GCA_015033625.1	Primary Assembly	Un			WNWZ01000211.1	Chromosome			unplaced-scaffold	16440			TcBrA4_Contig302
GCA_015033625.1	Primary Assembly	Un			WNWZ01000212.1	Chromosome			unplaced-scaffold	17710			TcBrA4_Contig303
GCA_015033625.1	Primary Assembly	Un			WNWZ01000213.1	Chromosome			unplaced-scaffold	22046			TcBrA4_Contig305
GCA_015033625.1	Primary Assembly	Un			WNWZ01000214.1	Chromosome			unplaced-scaffold	28687			TcBrA4_Contig306
GCA_015033625.1	Primary Assembly	Un			WNWZ01000215.1	Chromosome			unplaced-scaffold	21364			TcBrA4_Contig307
GCA_015033625.1	Primary Assembly	Un			WNWZ01000216.1	Chromosome			unplaced-scaffold	13787			TcBrA4_Contig308
GCA_015033625.1	Primary Assembly	Un			WNWZ01000217.1	Chromosome			unplaced-scaffold	18675			TcBrA4_Contig309
GCA_015033625.1	Primary Assembly	Un			WNWZ01000219.1	Chromosome			unplaced-scaffold	7428			TcBrA4_Contig310
GCA_015033625.1	Primary Assembly	Un			WNWZ01000220.1	Chromosome			unplaced-scaffold	703			TcBrA4_Contig311
GCA_015033625.1	Primary Assembly	Un			WNWZ01000221.1	Chromosome			unplaced-scaffold	5250			TcBrA4_Contig312
GCA_015033625.1	Primary Assembly	Un			WNWZ01000222.1	Chromosome			unplaced-scaffold	20258			TcBrA4_Contig313
GCA_015033625.1	Primary Assembly	Un			WNWZ01000223.1	Chromosome			unplaced-scaffold	85181			TcBrA4_Contig314
GCA_015033625.1	Primary Assembly	Un			WNWZ01000224.1	Chromosome			unplaced-scaffold	20683			TcBrA4_Contig315
GCA_015033625.1	Primary Assembly	Un			WNWZ01000225.1	Chromosome			unplaced-scaffold	13077			TcBrA4_Contig316
GCA_015033625.1	Primary Assembly	Un			WNWZ01000226.1	Chromosome			unplaced-scaffold	42896			TcBrA4_Contig317
GCA_015033625.1	Primary Assembly	Un			WNWZ01000227.1	Chromosome			unplaced-scaffold	20940			TcBrA4_Contig318
GCA_015033625.1	Primary Assembly	Un			WNWZ01000228.1	Chromosome			unplaced-scaffold	29137			TcBrA4_Contig319
GCA_015033625.1	Primary Assembly	Un			WNWZ01000229.1	Chromosome			unplaced-scaffold	12400			TcBrA4_Contig31
GCA_015033625.1	Primary Assembly	Un			WNWZ01000230.1	Chromosome			unplaced-scaffold	34437			TcBrA4_Contig320
GCA_015033625.1	Primary Assembly	Un			WNWZ01000231.1	Chromosome			unplaced-scaffold	24640			TcBrA4_Contig321
GCA_015033625.1	Primary Assembly	Un			WNWZ01000232.1	Chromosome			unplaced-scaffold	31677			TcBrA4_Contig322
GCA_015033625.1	Primary Assembly	Un			WNWZ01000233.1	Chromosome			unplaced-scaffold	13681			TcBrA4_Contig323
GCA_015033625.1	Primary Assembly	Un			WNWZ01000234.1	Chromosome			unplaced-scaffold	19916			TcBrA4_Contig324
GCA_015033625.1	Primary Assembly	Un			WNWZ01000235.1	Chromosome			unplaced-scaffold	11750			TcBrA4_Contig325
GCA_015033625.1	Primary Assembly	Un			WNWZ01000236.1	Chromosome			unplaced-scaffold	9664			TcBrA4_Contig326
GCA_015033625.1	Primary Assembly	Un			WNWZ01000237.1	Chromosome			unplaced-scaffold	19265			TcBrA4_Contig327
GCA_015033625.1	Primary Assembly	Un			WNWZ01000238.1	Chromosome			unplaced-scaffold	15807			TcBrA4_Contig328
GCA_015033625.1	Primary Assembly	Un			WNWZ01000239.1	Chromosome			unplaced-scaffold	31973			TcBrA4_Contig329
GCA_015033625.1	Primary Assembly	Un			WNWZ01000240.1	Chromosome			unplaced-scaffold	43829			TcBrA4_Contig32
GCA_015033625.1	Primary Assembly	Un			WNWZ01000241.1	Chromosome			unplaced-scaffold	94755			TcBrA4_Contig330
GCA_015033625.1	Primary Assembly	Un			WNWZ01000242.1	Chromosome			unplaced-scaffold	7691			TcBrA4_Contig332
GCA_015033625.1	Primary Assembly	Un			WNWZ01000243.1	Chromosome			unplaced-scaffold	5689			TcBrA4_Contig333
GCA_015033625.1	Primary Assembly	Un			WNWZ01000244.1	Chromosome			unplaced-scaffold	9435			TcBrA4_Contig334
GCA_015033625.1	Primary Assembly	Un			WNWZ01000245.1	Chromosome			unplaced-scaffold	73969			TcBrA4_Contig335
GCA_015033625.1	Primary Assembly	Un			WNWZ01000246.1	Chromosome			unplaced-scaffold	15514			TcBrA4_Contig336
GCA_015033625.1	Primary Assembly	Un			WNWZ01000247.1	Chromosome			unplaced-scaffold	17453			TcBrA4_Contig337
GCA_015033625.1	Primary Assembly	Un			WNWZ01000248.1	Chromosome			unplaced-scaffold	17641			TcBrA4_Contig338
GCA_015033625.1	Primary Assembly	Un			WNWZ01000249.1	Chromosome			unplaced-scaffold	14165			TcBrA4_Contig339
GCA_015033625.1	Primary Assembly	Un			WNWZ01000251.1	Chromosome			unplaced-scaffold	34403			TcBrA4_Contig340
GCA_015033625.1	Primary Assembly	Un			WNWZ01000252.1	Chromosome			unplaced-scaffold	18955			TcBrA4_Contig341
GCA_015033625.1	Primary Assembly	Un			WNWZ01000253.1	Chromosome			unplaced-scaffold	14890			TcBrA4_Contig342
GCA_015033625.1	Primary Assembly	Un			WNWZ01000254.1	Chromosome			unplaced-scaffold	22543			TcBrA4_Contig343
GCA_015033625.1	Primary Assembly	Un			WNWZ01000255.1	Chromosome			unplaced-scaffold	16677			TcBrA4_Contig344
GCA_015033625.1	Primary Assembly	Un			WNWZ01000256.1	Chromosome			unplaced-scaffold	13134			TcBrA4_Contig345
GCA_015033625.1	Primary Assembly	Un			WNWZ01000257.1	Chromosome			unplaced-scaffold	23456			TcBrA4_Contig346
GCA_015033625.1	Primary Assembly	Un			WNWZ01000258.1	Chromosome			unplaced-scaffold	19669			TcBrA4_Contig347
GCA_015033625.1	Primary Assembly	Un			WNWZ01000259.1	Chromosome			unplaced-scaffold	30314			TcBrA4_Contig348
GCA_015033625.1	Primary Assembly	Un			WNWZ01000260.1	Chromosome			unplaced-scaffold	17006			TcBrA4_Contig349
GCA_015033625.1	Primary Assembly	Un			WNWZ01000261.1	Chromosome			unplaced-scaffold	14934			TcBrA4_Contig34
GCA_015033625.1	Primary Assembly	Un			WNWZ01000262.1	Chromosome			unplaced-scaffold	58309			TcBrA4_Contig350
GCA_015033625.1	Primary Assembly	Un			WNWZ01000263.1	Chromosome			unplaced-scaffold	6514			TcBrA4_Contig351
GCA_015033625.1	Primary Assembly	Un			WNWZ01000264.1	Chromosome			unplaced-scaffold	32101			TcBrA4_Contig352
GCA_015033625.1	Primary Assembly	Un			WNWZ01000265.1	Chromosome			unplaced-scaffold	10641			TcBrA4_Contig353
GCA_015033625.1	Primary Assembly	Un			WNWZ01000266.1	Chromosome			unplaced-scaffold	20448			TcBrA4_Contig354
GCA_015033625.1	Primary Assembly	Un			WNWZ01000267.1	Chromosome			unplaced-scaffold	14227			TcBrA4_Contig355
GCA_015033625.1	Primary Assembly	Un			WNWZ01000268.1	Chromosome			unplaced-scaffold	15321			TcBrA4_Contig356
GCA_015033625.1	Primary Assembly	Un			WNWZ01000269.1	Chromosome			unplaced-scaffold	12861			TcBrA4_Contig357
GCA_015033625.1	Primary Assembly	Un			WNWZ01000270.1	Chromosome			unplaced-scaffold	26225			TcBrA4_Contig358
GCA_015033625.1	Primary Assembly	Un			WNWZ01000271.1	Chromosome			unplaced-scaffold	14383			TcBrA4_Contig359
GCA_015033625.1	Primary Assembly	Un			WNWZ01000272.1	Chromosome			unplaced-scaffold	20028			TcBrA4_Contig35
GCA_015033625.1	Primary Assembly	Un			WNWZ01000273.1	Chromosome			unplaced-scaffold	28012			TcBrA4_Contig360
GCA_015033625.1	Primary Assembly	Un			WNWZ01000274.1	Chromosome			unplaced-scaffold	23720			TcBrA4_Contig361
GCA_015033625.1	Primary Assembly	Un			WNWZ01000275.1	Chromosome			unplaced-scaffold	59123			TcBrA4_Contig362
GCA_015033625.1	Primary Assembly	Un			WNWZ01000276.1	Chromosome			unplaced-scaffold	11042			TcBrA4_Contig363
GCA_015033625.1	Primary Assembly	Un			WNWZ01000277.1	Chromosome			unplaced-scaffold	8861			TcBrA4_Contig364
GCA_015033625.1	Primary Assembly	Un			WNWZ01000278.1	Chromosome			unplaced-scaffold	15458			TcBrA4_Contig365
GCA_015033625.1	Primary Assembly	Un			WNWZ01000279.1	Chromosome			unplaced-scaffold	25659			TcBrA4_Contig366
GCA_015033625.1	Primary Assembly	Un			WNWZ01000280.1	Chromosome			unplaced-scaffold	31539			TcBrA4_Contig367
GCA_015033625.1	Primary Assembly	Un			WNWZ01000281.1	Chromosome			unplaced-scaffold	21596			TcBrA4_Contig368
GCA_015033625.1	Primary Assembly	Un			WNWZ01000282.1	Chromosome			unplaced-scaffold	22467			TcBrA4_Contig369
GCA_015033625.1	Primary Assembly	Un			WNWZ01000283.1	Chromosome			unplaced-scaffold	63214			TcBrA4_Contig36
GCA_015033625.1	Primary Assembly	Un			WNWZ01000284.1	Chromosome			unplaced-scaffold	34531			TcBrA4_Contig370
GCA_015033625.1	Primary Assembly	Un			WNWZ01000285.1	Chromosome			unplaced-scaffold	11607			TcBrA4_Contig371
GCA_015033625.1	Primary Assembly	Un			WNWZ01000286.1	Chromosome			unplaced-scaffold	20870			TcBrA4_Contig372
GCA_015033625.1	Primary Assembly	Un			WNWZ01000287.1	Chromosome			unplaced-scaffold	12405			TcBrA4_Contig373
GCA_015033625.1	Primary Assembly	Un			WNWZ01000288.1	Chromosome			unplaced-scaffold	17515			TcBrA4_Contig374
GCA_015033625.1	Primary Assembly	Un			WNWZ01000289.1	Chromosome			unplaced-scaffold	19708			TcBrA4_Contig375
GCA_015033625.1	Primary Assembly	Un			WNWZ01000290.1	Chromosome			unplaced-scaffold	33256			TcBrA4_Contig376
GCA_015033625.1	Primary Assembly	Un			WNWZ01000291.1	Chromosome			unplaced-scaffold	6190			TcBrA4_Contig377
GCA_015033625.1	Primary Assembly	Un			WNWZ01000292.1	Chromosome			unplaced-scaffold	25844			TcBrA4_Contig378
GCA_015033625.1	Primary Assembly	Un			WNWZ01000293.1	Chromosome			unplaced-scaffold	31269			TcBrA4_Contig379
GCA_015033625.1	Primary Assembly	Un			WNWZ01000294.1	Chromosome			unplaced-scaffold	27220			TcBrA4_Contig37
GCA_015033625.1	Primary Assembly	Un			WNWZ01000295.1	Chromosome			unplaced-scaffold	17936			TcBrA4_Contig380
GCA_015033625.1	Primary Assembly	Un			WNWZ01000296.1	Chromosome			unplaced-scaffold	18009			TcBrA4_Contig381
GCA_015033625.1	Primary Assembly	Un			WNWZ01000297.1	Chromosome			unplaced-scaffold	13936			TcBrA4_Contig382
GCA_015033625.1	Primary Assembly	Un			WNWZ01000298.1	Chromosome			unplaced-scaffold	15878			TcBrA4_Contig383
GCA_015033625.1	Primary Assembly	Un			WNWZ01000299.1	Chromosome			unplaced-scaffold	18813			TcBrA4_Contig384
GCA_015033625.1	Primary Assembly	Un			WNWZ01000300.1	Chromosome			unplaced-scaffold	25338			TcBrA4_Contig385
GCA_015033625.1	Primary Assembly	Un			WNWZ01000301.1	Chromosome			unplaced-scaffold	22921			TcBrA4_Contig386
GCA_015033625.1	Primary Assembly	Un			WNWZ01000302.1	Chromosome			unplaced-scaffold	20833			TcBrA4_Contig387
GCA_015033625.1	Primary Assembly	Un			WNWZ01000303.1	Chromosome			unplaced-scaffold	15938			TcBrA4_Contig388
GCA_015033625.1	Primary Assembly	Un			WNWZ01000304.1	Chromosome			unplaced-scaffold	19495			TcBrA4_Contig389
GCA_015033625.1	Primary Assembly	Un			WNWZ01000306.1	Chromosome			unplaced-scaffold	18388			TcBrA4_Contig390
GCA_015033625.1	Primary Assembly	Un			WNWZ01000307.1	Chromosome			unplaced-scaffold	15595			TcBrA4_Contig391
GCA_015033625.1	Primary Assembly	Un			WNWZ01000308.1	Chromosome			unplaced-scaffold	21990			TcBrA4_Contig392
GCA_015033625.1	Primary Assembly	Un			WNWZ01000309.1	Chromosome			unplaced-scaffold	22153			TcBrA4_Contig393
GCA_015033625.1	Primary Assembly	Un			WNWZ01000310.1	Chromosome			unplaced-scaffold	23327			TcBrA4_Contig394
GCA_015033625.1	Primary Assembly	Un			WNWZ01000311.1	Chromosome			unplaced-scaffold	18038			TcBrA4_Contig395
GCA_015033625.1	Primary Assembly	Un			WNWZ01000312.1	Chromosome			unplaced-scaffold	25181			TcBrA4_Contig396
GCA_015033625.1	Primary Assembly	Un			WNWZ01000313.1	Chromosome			unplaced-scaffold	7106			TcBrA4_Contig397
GCA_015033625.1	Primary Assembly	Un			WNWZ01000314.1	Chromosome			unplaced-scaffold	15905			TcBrA4_Contig398
GCA_015033625.1	Primary Assembly	Un			WNWZ01000315.1	Chromosome			unplaced-scaffold	22694			TcBrA4_Contig39
GCA_015033625.1	Primary Assembly	Un			WNWZ01000316.1	Chromosome			unplaced-scaffold	16077			TcBrA4_Contig400
GCA_015033625.1	Primary Assembly	Un			WNWZ01000317.1	Chromosome			unplaced-scaffold	22857			TcBrA4_Contig401
GCA_015033625.1	Primary Assembly	Un			WNWZ01000318.1	Chromosome			unplaced-scaffold	15517			TcBrA4_Contig402
GCA_015033625.1	Primary Assembly	Un			WNWZ01000319.1	Chromosome			unplaced-scaffold	10545			TcBrA4_Contig403
GCA_015033625.1	Primary Assembly	Un			WNWZ01000320.1	Chromosome			unplaced-scaffold	16928			TcBrA4_Contig404
GCA_015033625.1	Primary Assembly	Un			WNWZ01000321.1	Chromosome			unplaced-scaffold	31611			TcBrA4_Contig405
GCA_015033625.1	Primary Assembly	Un			WNWZ01000322.1	Chromosome			unplaced-scaffold	22959			TcBrA4_Contig406
GCA_015033625.1	Primary Assembly	Un			WNWZ01000323.1	Chromosome			unplaced-scaffold	17090			TcBrA4_Contig43
GCA_015033625.1	Primary Assembly	Un			WNWZ01000324.1	Chromosome			unplaced-scaffold	13464			TcBrA4_Contig44
GCA_015033625.1	Primary Assembly	Un			WNWZ01000325.1	Chromosome			unplaced-scaffold	24150			TcBrA4_Contig46
GCA_015033625.1	Primary Assembly	Un			WNWZ01000326.1	Chromosome			unplaced-scaffold	24057			TcBrA4_Contig48
GCA_015033625.1	Primary Assembly	Un			WNWZ01000327.1	Chromosome			unplaced-scaffold	23015			TcBrA4_Contig4
GCA_015033625.1	Primary Assembly	Un			WNWZ01000328.1	Chromosome			unplaced-scaffold	18202			TcBrA4_Contig50
GCA_015033625.1	Primary Assembly	Un			WNWZ01000329.1	Chromosome			unplaced-scaffold	23952			TcBrA4_Contig51
GCA_015033625.1	Primary Assembly	Un			WNWZ01000330.1	Chromosome			unplaced-scaffold	56908			TcBrA4_Contig52
GCA_015033625.1	Primary Assembly	Un			WNWZ01000331.1	Chromosome			unplaced-scaffold	59808			TcBrA4_Contig54
GCA_015033625.1	Primary Assembly	Un			WNWZ01000332.1	Chromosome			unplaced-scaffold	17886			TcBrA4_Contig55
GCA_015033625.1	Primary Assembly	Un			WNWZ01000333.1	Chromosome			unplaced-scaffold	19296			TcBrA4_Contig56
GCA_015033625.1	Primary Assembly	Un			WNWZ01000334.1	Chromosome			unplaced-scaffold	14131			TcBrA4_Contig57
GCA_015033625.1	Primary Assembly	Un			WNWZ01000335.1	Chromosome			unplaced-scaffold	11878			TcBrA4_Contig59
GCA_015033625.1	Primary Assembly	Un			WNWZ01000337.1	Chromosome			unplaced-scaffold	15934			TcBrA4_Contig62
GCA_015033625.1	Primary Assembly	Un			WNWZ01000338.1	Chromosome			unplaced-scaffold	21066			TcBrA4_Contig65
GCA_015033625.1	Primary Assembly	Un			WNWZ01000340.1	Chromosome			unplaced-scaffold	10477			TcBrA4_Contig67
GCA_015033625.1	Primary Assembly	Un			WNWZ01000341.1	Chromosome			unplaced-scaffold	24042			TcBrA4_Contig68
GCA_015033625.1	Primary Assembly	Un			WNWZ01000342.1	Chromosome			unplaced-scaffold	92254			TcBrA4_Contig69
GCA_015033625.1	Primary Assembly	Un			WNWZ01000343.1	Chromosome			unplaced-scaffold	22601			TcBrA4_Contig71
GCA_015033625.1	Primary Assembly	Un			WNWZ01000344.1	Chromosome			unplaced-scaffold	73998			TcBrA4_Contig72
GCA_015033625.1	Primary Assembly	Un			WNWZ01000345.1	Chromosome			unplaced-scaffold	34649			TcBrA4_Contig73
GCA_015033625.1	Primary Assembly	Un			WNWZ01000346.1	Chromosome			unplaced-scaffold	3473			TcBrA4_Contig74
GCA_015033625.1	Primary Assembly	Un			WNWZ01000347.1	Chromosome			unplaced-scaffold	12448			TcBrA4_Contig75
GCA_015033625.1	Primary Assembly	Un			WNWZ01000348.1	Chromosome			unplaced-scaffold	28443			TcBrA4_Contig76
GCA_015033625.1	Primary Assembly	Un			WNWZ01000349.1	Chromosome			unplaced-scaffold	9402			TcBrA4_Contig77
GCA_015033625.1	Primary Assembly	Un			WNWZ01000350.1	Chromosome			unplaced-scaffold	33272			TcBrA4_Contig78
GCA_015033625.1	Primary Assembly	Un			WNWZ01000351.1	Chromosome			unplaced-scaffold	16934			TcBrA4_Contig79
GCA_015033625.1	Primary Assembly	Un			WNWZ01000352.1	Chromosome			unplaced-scaffold	16463			TcBrA4_Contig7
GCA_015033625.1	Primary Assembly	Un			WNWZ01000353.1	Chromosome			unplaced-scaffold	9974			TcBrA4_Contig80
GCA_015033625.1	Primary Assembly	Un			WNWZ01000354.1	Chromosome			unplaced-scaffold	35238			TcBrA4_Contig81
GCA_015033625.1	Primary Assembly	Un			WNWZ01000355.1	Chromosome			unplaced-scaffold	6421			TcBrA4_Contig82
GCA_015033625.1	Primary Assembly	Un			WNWZ01000356.1	Chromosome			unplaced-scaffold	64622			TcBrA4_Contig83
GCA_015033625.1	Primary Assembly	Un			WNWZ01000357.1	Chromosome			unplaced-scaffold	18502			TcBrA4_Contig85
GCA_015033625.1	Primary Assembly	Un			WNWZ01000358.1	Chromosome			unplaced-scaffold	18832			TcBrA4_Contig86
GCA_015033625.1	Primary Assembly	Un			WNWZ01000359.1	Chromosome			unplaced-scaffold	56656			TcBrA4_Contig87
GCA_015033625.1	Primary Assembly	Un			WNWZ01000360.1	Chromosome			unplaced-scaffold	19224			TcBrA4_Contig88
GCA_015033625.1	Primary Assembly	Un			WNWZ01000362.1	Chromosome			unplaced-scaffold	6637			TcBrA4_Contig8
GCA_015033625.1	Primary Assembly	Un			WNWZ01000363.1	Chromosome			unplaced-scaffold	15072			TcBrA4_Contig90
GCA_015033625.1	Primary Assembly	Un			WNWZ01000364.1	Chromosome			unplaced-scaffold	17530			TcBrA4_Contig91
GCA_015033625.1	Primary Assembly	Un			WNWZ01000365.1	Chromosome			unplaced-scaffold	15453			TcBrA4_Contig93
GCA_015033625.1	Primary Assembly	Un			WNWZ01000366.1	Chromosome			unplaced-scaffold	21087			TcBrA4_Contig94
GCA_015033625.1	Primary Assembly	Un			WNWZ01000367.1	Chromosome			unplaced-scaffold	166935			TcBrA4_Contig95
GCA_015033625.1	Primary Assembly	Un			WNWZ01000368.1	Chromosome			unplaced-scaffold	28023			TcBrA4_Contig96
GCA_015033625.1	Primary Assembly	Un			WNWZ01000369.1	Chromosome			unplaced-scaffold	25610			TcBrA4_Contig97
GCA_015033625.1	Primary Assembly	Un			WNWZ01000370.1	Chromosome			unplaced-scaffold	15106			TcBrA4_Contig98
GCA_015033625.1	Primary Assembly	Un			WNWZ01000383.1	Chromosome			unplaced-scaffold	26682			TcBrA4_Contig175
GCA_015033625.1	Primary Assembly	Un			WNWZ01000385.1	Chromosome			unplaced-scaffold	26168			TcBrA4_Contig331
GCA_015033625.1	Primary Assembly	Un			WNWZ01000386.1	Chromosome			unplaced-scaffold	103134			TcBrA4_Contig399
GCA_015033625.1	Primary Assembly	Un			WNWZ01000402.1	Chromosome			unplaced-scaffold	33280			TcBrA4_Contig64
